date;trial;subject;task;stage;checksum;box;TRIAL_START;TRIAL_END;Port1In_START;Port1Out_START;Port4In_START;Port4Out_START;Port7In_START;Port7Out_START;STATE_center_light_START;STATE_center_light_END;STATE_drink_delay_START;STATE_drink_delay_END;STATE_light_off_START;STATE_light_off_END;STATE_light_on_START;STATE_light_on_END;STATE_side_light_START;STATE_side_light_END;STATE_wait_opto_START;STATE_wait_opto_END;STATE_water_delivery_START;STATE_water_delivery_END;STATE_wrong_side_START;STATE_wrong_side_END;SoftcodeOut1_START;SoftcodeOut20_START;SoftcodeOut6_START;SoftcodeOut7_START;Block_index;Block_type;Prob_block_type;Probability_L_R_blocks;frequency_light;iti_duration;list_prob_R_values;max_dur_light;opto_bool;opto_type;outcome;probability_r;pulse_dur_on;reward_drunk;side;subject_weight;trials_max
2024/08/02;21;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597728.546686;1722597736.754472;;;1722597729.6910858;1722597729.720786;1722597729.207586,1722597729.989486,1722597730.729286,1722597730.784686,1722597731.481686;1722597729.313186,1722597730.641286,1722597730.755086,1722597731.422586,1722597732.084386;1722597728.546686;1722597729.6910858;1722597731.284686;1722597736.7544858;1722597730.784686;1722597731.284686;1722597730.729286;1722597730.784686;1722597729.6910858;1722597729.989486;1722597730.001286;1722597730.729286;1722597729.989486;1722597730.001286;;;;;1722597730.729347;1722597730.785066;1.0;exp;rdm_values;balanced;20;11.469872410817896;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;27.0;right;0.0;99999.0
2024/08/02;22;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597736.810062;1722597757.000048;1722597751.031562;1722597752.516162;1722597750.635762;1722597750.693862;;;1722597736.810062;1722597750.635762;1722597751.531562;1722597757.000062;;;;;1722597750.635762;1722597751.031562;;;;;1722597751.031562;1722597751.531562;1722597751.032529;;;;1.0;exp;rdm_values;balanced;20;5.468552171912635;[0.9, 0.8];2.0;0;6;incorrect;0.9;0.0125;27.0;right;0.0;99999.0
2024/08/02;23;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597757.05634;1722597763.993026;;;1722597761.22434;1722597761.26164;1722597761.56814,1722597761.75454;1722597761.68854,1722597762.72134;1722597757.05634;1722597761.22434;1722597761.57994;1722597763.99304;;;;;1722597761.22434;1722597761.56814;;;1722597761.56814;1722597761.57994;;;;;;;1.0;exp;rdm_values;balanced;20;2.4131926110574584;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;30.0;right;0.0;99999.0
2024/08/02;24;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597764.048889;1722597771.497475;;;1722597764.417189;1722597764.4362888;1722597764.659889;1722597765.008389;1722597764.048889;1722597764.417189;1722597764.671689;1722597771.497489;;;;;1722597764.417189;1722597764.659889;;;1722597764.659889;1722597764.671689;;;;;;;1.0;exp;rdm_values;balanced;20;6.8258411656657465;[0.9, 0.8];2.0;0;6;correct;0.9;0.0125;33.0;right;0.0;99999.0
2024/08/02;25;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597771.55193;1722597799.934616;;;1722597797.44913;1722597797.49353;1722597797.83893;1722597797.9765298;1722597771.55193;1722597797.44913;1722597797.85073;1722597799.93463;;;;;1722597797.44913;1722597797.83893;;;1722597797.83893;1722597797.85073;;;;;;;1.0;exp;rdm_values;balanced;20;2.083985462892855;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;36.0;right;0.0;99999.0
2024/08/02;26;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597799.990004;1722597848.00719;;;1722597843.001304;1722597843.029904;1722597843.274904;1722597844.070504;1722597799.990004;1722597843.001304;1722597843.286704;1722597848.007204;;;;;1722597843.001304;1722597843.274904;;;1722597843.274904;1722597843.286704;;;;;;;1.0;exp;rdm_values;balanced;20;4.7205209782254265;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;39.0;right;0.0;99999.0
2024/08/02;27;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597848.111178;1722597854.167764;;;1722597852.884178;1722597852.962778;1722597853.443778,1722597853.750878;1722597853.7313778,1722597854.153478;1722597848.111178;1722597852.884178;1722597853.455578;1722597854.167778;;;;;1722597852.884178;1722597853.443778;;;1722597853.443778;1722597853.455578;;;;;;;1.0;exp;rdm_values;balanced;20;0.7122942252881923;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;42.0;right;0.0;99999.0
2024/08/02;28;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597854.22298;1722597860.5682662;;;1722597854.97738;1722597855.01798;1722597855.23648,1722597855.40868;1722597855.37488,1722597855.45438;1722597854.22298;1722597854.97738;1722597855.24828;1722597860.56828;;;;;1722597854.97738;1722597855.23648;;;1722597855.23648;1722597855.24828;;;;;;;1.0;exp;rdm_values;balanced;20;5.320040783162959;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;45.0;right;0.0;99999.0
2024/08/02;29;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597860.622911;1722597894.9700968;;;1722597881.0482109;1722597881.091011;1722597881.385011;1722597882.1683109;1722597860.622911;1722597881.0482109;1722597881.396811;1722597894.970111;;;;;1722597881.0482109;1722597881.385011;;;1722597881.385011;1722597881.396811;;;;;;;1.0;exp;rdm_values;balanced;20;13.57333908926811;[0.9, 0.8];2.0;0;6;correct;0.9;0.0125;48.0;right;0.0;99999.0
2024/08/02;30;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597895.027299;1722597929.8251848;;;1722597921.8017988;1722597921.825899;1722597922.104699;1722597922.242799;1722597895.027299;1722597921.8017988;1722597928.616499;1722597929.825199;1722597928.116499;1722597928.616499;1722597927.116499;1722597928.116499;1722597921.8017988;1722597922.104699;1722597922.116499;1722597927.116499;1722597922.104699;1722597922.116499;;;;;1722597927.117894;1722597928.11796;1.0;exp;rdm_values;balanced;20;7.208778338833986;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;51.0;right;0.0;99999.0
